word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
espécie,61.9621,1952,espécie,NOUN,False,True,True
gene,44.2586,1578,gene,NOUN,False,True,True
animal,39.267,724,animal,NOUN,False,True,True
ano,37.9451,779,ano,NOUN,False,True,True
indivíduo,35.2774,1257,indivíduo,NOUN,False,True,True
população,34.9448,1117,população,NOUN,False,True,True
água,32.724,681,água,NOUN,False,True,True
capítulo,31.3295,829,capítulo,NOUN,False,True,True
região,29.7722,637,região,NOUN,False,True,True
ambiente,28.7754,643,ambiente,NOUN,False,True,True
evolução,28.1012,645,evolução,NOUN,False,False,True
genética,27.2963,679,genética,PROPN,False,True,True
caso,27.1407,581,caso,NOUN,False,True,True
organismo,26.7927,562,organismo,NOUN,False,True,True
planta,26.0099,1083,planta,NOUN,False,True,True
natural,25.7186,514,natural,ADJ,False,True,True
processo,25.1567,526,processo,NOUN,False,True,True
pessoa,24.5292,452,pessoa,NOUN,False,True,True
característica,24.4527,716,característica,NOUN,False,True,True
humano,24.2145,430,humano,ADJ,False,True,True
paulo,23.1483,247,paulo,PROPN,False,False,True
professor,22.9268,415,professor,NOUN,False,True,True
vida,22.7725,433,vida,NOUN,False,True,True
diferente,22.5507,509,diferente,ADJ,False,True,True
solo,22.2967,414,solo,NOUN,False,True,True
images,21.8882,199,images,PROPN,False,True,True
bactéria,21.692,566,bactéria,NOUN,False,True,True
humana,20.6877,431,humano,ADJ,False,False,True
célula,20.6494,528,célula,NOUN,False,True,True
reprodução,20.1411,567,reprodução,PROPN,False,False,True
rio,19.8181,304,rio,NOUN,False,True,True
longo,19.4093,414,longo,NOUN,False,True,True
conhecimento,19.2938,387,conhecimento,NOUN,False,True,True
vivo,19.2528,431,vivo,ADJ,False,True,True
floresta,19.0538,421,floresta,NOUN,False,True,True
base,18.8281,339,base,NOUN,False,True,True
brasil,18.5812,291,brasil,PROPN,False,True,True
unidade,18.533,572,unidade,PROPN,False,True,True
doença,18.3139,355,doença,NOUN,False,True,True
fóssil,18.243,328,fóssil,ADJ,False,True,True
produção,18.2086,319,produção,NOUN,False,True,True
desenvolvimento,18.1431,262,desenvolvimento,NOUN,False,False,True
cor,18.1291,599,cor,NOUN,False,True,True
importante,18.054,298,importante,ADJ,False,True,True
formação,18.053,300,formação,NOUN,False,True,True
lei,18.0362,725,lei,PROPN,False,True,True
árvore,18.0338,273,árvore,NOUN,False,True,True
problema,17.8696,295,problema,NOUN,False,True,True
fator,17.8501,438,fator,NOUN,False,True,True
estudo,17.7794,279,estudo,NOUN,False,True,True
alimento,17.7733,289,alimento,NOUN,False,True,True
quantidade,17.2893,351,quantidade,NOUN,False,True,True
energia,16.9484,449,energia,NOUN,False,True,True
geração,16.9044,465,geração,NOUN,False,True,True
teoria,16.8764,402,teoria,NOUN,False,True,True
texto,16.8732,273,texto,NOUN,False,True,True
cruzamento,16.606,443,cruzamento,NOUN,False,True,True
terra,16.4153,284,terra,PROPN,False,True,True
mesma,16.4083,366,mesmo,ADJ,False,False,True
aluno,16.3708,342,aluno,NOUN,False,True,True
comprimento,16.241,164,comprimento,NOUN,False,True,True
seleção,16.1103,410,seleção,NOUN,False,True,True
ciência,15.9308,206,ciência,PROPN,False,True,True
pequeno,15.65,201,pequeno,ADJ,False,True,True
seguinte,15.4892,267,seguinte,ADJ,False,True,True
genótipo,15.4758,517,genótipo,NOUN,False,True,True
origem,15.454,286,origem,NOUN,False,True,True
aumento,15.4465,322,aumento,PROPN,False,True,True
trabalho,15.4068,242,trabalho,NOUN,False,True,True
presente,15.4003,246,presente,ADJ,False,True,True
fêmea,15.3366,336,fêmea,NOUN,False,True,True
pesquisa,15.1135,190,pesquisa,NOUN,False,True,True
mutação,14.9868,362,mutação,NOUN,False,True,True
genético,14.9521,328,genético,ADJ,False,True,True
mendel,14.8384,357,mendel,PROPN,False,False,True
homem,14.8093,343,homem,NOUN,False,True,True
alelo,14.7777,619,alelo,NOUN,False,True,True
cromosso,14.701,461,cromosso,VERB,False,True,True
macho,14.6438,312,macho,NOUN,False,True,True
livro,14.4176,177,livro,PROPN,False,True,True
peixe,14.3623,244,peixe,NOUN,False,True,True
inseto,14.2807,226,inseto,NOUN,False,True,True
sangue,14.2722,364,sangue,NOUN,False,True,True
figura,14.1855,995,figura,PROPN,False,True,True
fonte,14.1628,149,fonte,PROPN,False,True,True
fato,14.1548,214,fato,NOUN,False,True,True
ideia,14.0392,224,ideia,NOUN,False,True,True
darwin,13.8106,252,darwin,PROPN,False,False,True
conceito,13.7544,266,conceito,NOUN,False,True,True
filho,13.6934,377,filho,PROPN,False,True,True
informação,13.6211,194,informação,PROPN,False,True,True
resultado,13.3849,276,resultado,NOUN,False,True,True
principal,13.371,230,principal,ADJ,False,True,True
enzima,13.3043,274,enzima,NOUN,False,True,True
uso,13.2502,194,uso,NOUN,False,True,True
crescimento,12.916,285,crescimento,NOUN,False,True,True
dominante,12.8746,415,dominante,ADJ,False,True,True
ambiental,12.8584,210,ambiental,ADJ,False,True,True
condição,12.8022,243,condição,NOUN,False,True,True
mamífero,12.7004,174,mamífero,NOUN,False,True,True
sequência,12.6333,241,sequência,NOUN,False,True,True
folha,12.6083,205,folha,NOUN,False,True,True
ecossistema,12.5606,276,ecossistema,NOUN,False,True,True
corpo,12.553,238,corpo,NOUN,False,True,True
proteína,12.4532,244,proteína,NOUN,False,True,True
período,12.4404,217,período,NOUN,False,True,True
gameta,12.3628,431,gameta,NOUN,False,True,True
substância,12.3459,218,substância,NOUN,False,True,True
