word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
espécie,80.8076,3436,espécie,NOUN,False,True,True
animal,68.4373,2455,animal,NOUN,False,True,True
água,60.0217,2396,água,NOUN,False,True,True
célula,57.3969,3548,célula,NOUN,False,True,True
capítulo,48.4336,1903,capítulo,NOUN,False,True,True
região,44.3738,1425,região,NOUN,False,True,True
ano,44.148,1201,ano,NOUN,False,True,True
corpo,42.872,1676,corpo,NOUN,False,True,True
planta,42.7694,2884,planta,NOUN,False,True,True
pessoa,42.1136,1136,pessoa,NOUN,False,True,True
doença,39.5043,1204,doença,NOUN,False,True,True
gene,38.849,1774,gene,NOUN,False,True,True
caso,38.5298,1176,caso,NOUN,False,True,True
organismo,38.3333,1316,organismo,NOUN,False,True,True
bactéria,37.5452,1478,bactéria,NOUN,False,True,True
comprimento,36.8583,610,comprimento,NOUN,False,True,True
alimento,36.5826,1114,alimento,NOUN,False,True,True
reprodução,36.0029,1716,reprodução,PROPN,False,True,True
humano,35.3153,992,humano,ADJ,False,True,True
processo,35.1603,1102,processo,NOUN,False,True,True
ambiente,34.3,1157,ambiente,NOUN,False,True,True
indivíduo,34.0856,1547,indivíduo,NOUN,False,True,True
característica,33.9608,1355,característica,NOUN,False,True,True
vida,33.5874,1046,vida,PROPN,False,True,True
substância,32.968,1029,substância,NOUN,False,True,True
sangue,32.664,1583,sangue,PROPN,False,True,True
população,32.1568,1308,população,NOUN,False,True,True
estrutura,31.5838,929,estrutura,NOUN,False,True,True
images,31.2664,400,images,PROPN,False,True,True
desenvolvimento,31.2366,949,desenvolvimento,PROPN,False,True,True
pequeno,31.1716,643,pequeno,ADJ,False,True,True
paulo,30.8167,467,paulo,PROPN,False,False,True
base,29.6448,694,base,NOUN,False,True,True
figura,29.5633,3029,figura,NOUN,False,True,True
unidade,28.8621,1382,unidade,NOUN,False,True,True
principal,28.846,756,principal,ADJ,False,True,True
gênero,28.6066,460,gênero,NOUN,False,True,True
importante,28.0964,724,importante,ADJ,False,True,True
formação,28.0637,701,formação,NOUN,False,True,True
diferente,27.9384,844,diferente,ADJ,False,True,True
evolução,27.6499,799,evolução,NOUN,False,False,True
produção,27.4058,750,produção,NOUN,False,True,True
folha,27.2479,803,folha,PROPN,False,True,True
vivo,27.0068,909,vivo,ADJ,False,True,True
aumento,26.9873,813,aumento,NOUN,False,True,True
presente,26.4027,671,presente,ADJ,False,True,True
proteína,26.2315,910,proteína,NOUN,False,True,True
natural,26.175,647,natural,PROPN,False,True,True
solo,26.1134,713,solo,NOUN,False,True,True
vírus,26.0176,1014,vírus,NOUN,False,True,True
humana,25.043,710,humano,ADJ,False,False,True
tecido,24.4446,978,tecido,NOUN,False,True,True
genética,24.326,769,genético,ADJ,False,True,True
longo,24.2909,679,longo,NOUN,False,True,True
cor,24.2108,990,cor,NOUN,False,True,True
brasil,23.7465,538,brasil,PROPN,False,True,True
quantidade,23.7036,747,quantidade,NOUN,False,True,True
órgão,23.6706,713,órgão,NOUN,False,True,True
enzima,23.414,720,enzima,NOUN,False,True,True
origem,23.3446,595,origem,NOUN,False,True,True
foto,23.1894,389,foto,PROPN,False,True,True
conhecimento,23.1859,637,conhecimento,NOUN,False,True,True
