word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
velocidade,45.5663,2102,velocidade,NOUN,False,True,True
movimento,42.2249,1772,movimento,NOUN,False,True,True
força,35.1982,1279,força,NOUN,False,True,True
energia,30.6219,842,energia,NOUN,False,True,True
corpo,29.2213,1029,corpo,NOUN,False,True,True
física,28.8138,349,física,PROPN,False,True,True
livro,22.8339,301,livro,NOUN,False,True,True
paulo,21.7917,156,paulo,PROPN,False,True,True
água,21.1906,303,água,PROPN,False,True,True
igual,17.0856,406,igual,ADJ,False,True,True
distância,17.0437,347,distância,NOUN,False,True,True
ciência,16.9988,214,ciência,PROPN,False,True,True
terra,16.8903,390,terra,PROPN,False,False,True
pessoa,15.9272,206,pessoa,NOUN,False,True,True
aceleração,15.3834,630,aceleração,NOUN,False,True,True
situação,15.1521,243,situação,NOUN,False,True,True
km/h,15.0002,453,km/h,NOUN,False,False,True
constante,14.7831,371,constante,ADJ,False,True,True
trajetória,14.5543,403,trajetória,NOUN,False,True,True
capítulo,14.5485,309,capítulo,NOUN,False,True,True
direção,14.3563,367,direção,NOUN,False,True,True
intervalo,13.5061,362,intervalo,NOUN,False,True,True
carro,13.2876,256,carro,NOUN,False,True,True
lei,13.239,330,lei,NOUN,False,True,True
resposta,13.2141,248,resposta,NOUN,False,True,True
massa,13.1557,352,massa,NOUN,False,True,True
imagem,12.9834,110,imagem,NOUN,False,True,True
altura,12.9049,261,altura,NOUN,False,True,True
estudo,12.8194,153,estudo,NOUN,False,True,True
sentido,12.7271,359,sentido,NOUN,False,True,True
exercícios,12.7199,221,exercícios,PROPN,False,True,True
rio,12.3166,137,rio,NOUN,False,True,True
ano,12.2778,108,ano,NOUN,False,True,True
instante,12.2334,477,instante,NOUN,False,True,True
pressão,12.2238,204,pressão,PROPN,False,True,True
média,12.1559,319,médio,NOUN,False,False,True
caso,12.1423,220,caso,NOUN,False,True,True
unidade,11.9507,266,unidade,NOUN,False,True,True
função,11.9123,440,função,NOUN,False,True,True
foto,11.8806,92,foto,NOUN,False,True,True
módulo,11.8409,344,módulo,NOUN,False,True,True
espaço,11.4584,336,espaço,NOUN,False,True,True
horizontal,11.3358,281,horizontal,ADJ,False,True,True
mesma,11.3079,261,mesmo,ADJ,False,False,True
fenômeno,11.0773,145,fenômeno,NOUN,False,True,True
trabalho,11.0586,206,trabalho,NOUN,False,True,True
modelo,10.9981,126,modelo,NOUN,False,True,True
solo,10.9464,216,solo,NOUN,False,False,True
conceito,10.9151,137,conceito,NOUN,False,True,True
gráfico,10.8476,269,gráfico,ADJ,False,True,True
inicial,10.6108,238,inicial,ADJ,False,True,True
centro,10.5613,175,centro,NOUN,False,True,True
texto,10.5555,89,texto,NOUN,False,True,True
peso,10.5396,246,peso,ADJ,False,True,True
satélite,10.52,143,satélite,NOUN,False,True,True
quantidade,10.4583,169,quantidade,NOUN,False,True,True
metro,10.4472,167,metro,PROPN,False,True,True
bureau,10.4416,188,bureau,PROPN,False,False,True
ação,10.2973,159,ação,NOUN,False,True,True
planeta,10.2833,173,planeta,NOUN,False,True,True
dia,10.2636,123,dia,NOUN,False,True,True
grandeza,10.2434,261,grandeza,ADJ,False,True,True
acordo,10.1879,117,acordo,NOUN,False,True,True
veículo,10.0946,135,veículo,NOUN,False,True,True
bola,9.8411,190,bola,NOUN,False,True,True
superfície,9.7256,182,superfície,NOUN,False,True,True
colisão,9.6985,149,colisão,NOUN,False,True,True
página,9.6155,178,página,NOUN,False,True,True
modo,9.4632,106,modo,NOUN,False,True,True
sol,9.2516,162,sol,NOUN,False,False,True
seguinte,9.2088,104,seguinte,ADJ,False,True,True
repouso,9.1589,186,repouso,NOUN,False,False,True
líquido,9.0701,126,líquido,NOUN,False,True,True
maneira,9.0458,75,maneira,NOUN,False,True,True
brasil,8.9744,57,brasil,PROPN,False,True,True
base,8.943,100,base,NOUN,False,True,True
comprimento,8.8972,133,comprimento,NOUN,False,True,True
conhecimento,8.8771,78,conhecimento,NOUN,False,True,True
intensidade,8.7886,234,intensidade,NOUN,False,True,True
material,8.7821,121,material,NOUN,False,True,True
elétrica,8.7722,113,elétrica,PROPN,False,True,True
diferente,8.7451,106,diferente,DET,False,True,True
variação,8.737,226,variação,NOUN,False,True,True
podese,8.7111,117,podese,NOUN,False,False,True
mundo,8.6784,71,mundo,NOUN,False,True,True
atrito,8.6429,171,atrito,NOUN,False,False,True
automóvel,8.6299,127,automóvel,NOUN,False,True,True
esquema,8.6252,118,esquema,NOUN,False,True,True
uniforme,8.5522,265,uniforme,ADJ,False,True,True
vetor,8.546,304,vetor,NOUN,False,True,True
experimento,8.5364,95,experimento,PROPN,False,True,True
eixo,8.5003,200,eixo,NOUN,False,True,True
informação,8.4871,73,informação,NOUN,False,True,True
período,8.4118,142,período,NOUN,False,True,True
vertical,8.4011,176,vertical,ADJ,False,True,True
resistência,8.3736,135,resistência,NOUN,False,True,True
pedra,8.3416,117,pedra,NOUN,False,True,True
lançamento,8.3085,178,lançamento,NOUN,False,True,True
total,8.2938,109,total,ADJ,False,False,True
vetorial,8.0149,293,vetorial,ADJ,False,True,True
aplicação,7.9346,79,aplicação,NOUN,False,True,True
humano,7.8701,74,humano,ADJ,False,True,True
fotografia,7.8096,73,fotografia,NOUN,False,True,True
avião,7.8025,93,avião,NOUN,False,True,True
uso,7.7436,56,uso,NOUN,False,True,True
volume,7.7259,143,volume,NOUN,False,True,True
colega,7.69,62,colega,NOUN,False,True,True
potencial,7.6399,137,potencial,ADJ,False,True,True
importante,7.636,77,importante,ADJ,False,True,True
cidade,7.6036,56,cidade,NOUN,False,True,True
densidade,7.5695,145,densidade,PROPN,False,True,True
universo,7.5529,83,universo,NOUN,False,False,True
gravidade,7.5499,149,gravidade,NOUN,False,False,True
acesso,7.5033,65,acesso,NOUN,False,False,True
observação,7.4817,69,observação,NOUN,False,True,True
raio,7.4214,173,raio,NOUN,False,True,True
deslocamento,7.4116,151,deslocamento,NOUN,False,True,True
pesquisa,7.3597,48,pesquisa,PROPN,False,True,True
necessário,7.3535,70,necessário,ADJ,False,True,True
efeito,7.349,85,efeito,NOUN,False,True,True
resultado,7.3141,92,resultado,NOUN,False,True,True
figura,7.3126,398,figura,NOUN,False,True,True
volta,7.2792,140,volta,NOUN,False,True,True
