word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
energia,47.0611,2560,energia,NOUN,False,True,True
física,44.9045,1415,física,PROPN,False,True,True
velocidade,42.5975,2649,velocidade,NOUN,False,True,True
movimento,41.8108,2355,movimento,NOUN,False,True,True
temperatura,41.0283,2446,temperatura,NOUN,False,True,True
água,40.5022,1567,água,PROPN,False,True,True
força,38.7013,2372,força,NOUN,False,True,True
paulo,37.3601,672,paulo,PROPN,False,True,True
elétrica,34.5288,1957,elétrica,PROPN,False,True,True
elétrico,33.1425,1960,elétrico,ADJ,False,True,True
corpo,33.0472,1667,corpo,NOUN,False,True,True
carga,31.5028,2400,carga,NOUN,False,True,True
figura,30.9955,3763,figura,NOUN,False,True,True
luz,30.7803,1144,luz,NOUN,False,True,True
capítulo,29.2419,1129,capítulo,NOUN,False,True,True
campo,27.8832,1882,campo,NOUN,False,True,True
igual,26.0175,1180,igual,ADJ,False,True,True
imagem,25.8663,884,imagem,NOUN,False,True,True
lei,25.7867,1365,lei,NOUN,False,True,True
objeto,25.0469,901,objeto,NOUN,False,True,True
livro,24.1926,519,livro,NOUN,False,True,True
trabalho,23.8461,967,trabalho,NOUN,False,True,True
unidade,23.8455,1054,unidade,NOUN,False,True,True
pessoa,23.8438,533,pessoa,NOUN,False,True,True
calor,23.6995,1568,calor,NOUN,False,True,True
constante,22.8443,1073,constante,ADJ,False,True,True
terra,22.6738,793,terra,PROPN,False,False,True
distância,22.2758,882,distância,NOUN,False,True,True
pressão,22.2293,1074,pressão,PROPN,False,True,True
professor,22.0507,486,professor,NOUN,False,True,True
caso,22.0263,725,caso,NOUN,False,True,True
ciência,21.3998,467,ciência,PROPN,False,True,True
raio,21.096,889,raio,NOUN,False,True,True
resistência,20.9958,1243,resistência,NOUN,False,True,True
material,20.4037,560,material,NOUN,False,True,True
sentido,20.199,1041,sentido,NOUN,False,True,True
líquido,20.1926,741,líquido,NOUN,False,True,True
situação,20.165,542,situação,NOUN,False,True,True
gás,20.0368,1078,gás,NOUN,False,True,True
