word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
matemática,37.3206,636,matemática,PROPN,False,True,True
professor,27.8812,474,professor,PROPN,False,True,True
aluno,24.9277,422,aluno,NOUN,False,True,True
capítulo,23.0323,433,capítulo,NOUN,False,True,True
volume,22.9065,859,volume,NOUN,False,True,True
paulo,21.9472,209,paulo,PROPN,False,False,True
base,21.3795,967,base,NOUN,False,True,True
função,20.6522,589,função,NOUN,False,True,True
problema,19.9116,259,problema,NOUN,False,True,True
plano,19.794,1030,plano,ADJ,False,True,True
resolução,19.7572,366,resolução,NOUN,False,True,True
matriz,19.3957,715,matriz,NOUN,False,True,True
equação,18.8206,719,equação,NOUN,False,True,True
triângulo,18.5228,597,triângulo,NOUN,False,True,True
modo,18.4412,297,modo,NOUN,False,True,True
exercício,18.4355,356,exercício,NOUN,False,True,True
altura,17.7794,617,altura,NOUN,False,True,True
total,17.1332,424,total,NOUN,False,True,True
alternativa,17.0924,450,alternativa,NOUN,False,True,True
solução,17.0249,514,solução,NOUN,False,True,True
igual,16.9653,503,igual,ADJ,False,True,True
estudante,16.5612,246,estudante,NOUN,False,True,True
seguinte,16.526,254,seguinte,ADJ,False,True,True
elemento,16.4898,402,elemento,NOUN,False,True,True
caso,16.2622,292,caso,NOUN,False,True,True
reta,16.1225,852,reta,NOUN,False,True,True
ângulo,15.6033,382,ângulo,NOUN,False,True,True
maneira,15.5821,267,maneira,NOUN,False,True,True
livro,15.1503,177,livro,PROPN,False,True,True
distinto,15.0975,361,distinto,ADJ,False,True,True
trabalho,13.9673,149,trabalho,NOUN,False,True,True
raio,13.9168,473,raio,NOUN,False,True,True
estudo,13.8351,178,estudo,NOUN,False,True,True
conhecimento,13.8212,165,conhecimento,NOUN,False,True,True
obra,13.6491,121,obra,NOUN,False,True,True
possibilidade,13.6119,292,possibilidade,NOUN,False,True,True
real,13.6112,320,real,ADJ,False,True,True
ensino,13.557,222,ensino,PROPN,False,False,True
diferente,13.3697,179,diferente,ADJ,False,True,True
medida,13.3615,975,medida,NOUN,False,True,True
gráfico,13.1482,355,gráfico,NOUN,False,True,True
educação,13.105,193,educação,PROPN,False,False,True
ano,13.0714,118,ano,NOUN,False,True,True
situação,13.0587,154,situação,NOUN,False,True,True
avaliação,12.9843,150,avaliação,NOUN,False,True,True
retângulo,12.86,286,retângulo,ADJ,False,True,True
matemático,12.7522,125,matemático,ADJ,False,True,True
superfície,12.3196,377,superfície,NOUN,False,True,True
quantidade,12.2433,184,quantidade,NOUN,False,True,True
mesma,11.8513,188,mesmo,ADJ,False,False,True
imagem,11.8406,232,imagem,NOUN,False,True,True
co,11.8091,962,co,NOUN,False,True,True
determine,11.7157,388,determine,PROPN,False,True,True
conjunto,11.6536,202,conjunto,NOUN,False,True,True
circunferência,11.5087,428,circunferência,NOUN,False,True,True
conceito,11.3707,168,conceito,NOUN,False,True,True
construção,11.3314,132,construção,NOUN,False,True,True
atividade,11.2422,253,atividade,NOUN,False,True,True
lei,11.1622,340,lei,NOUN,False,True,True
resposta,11.1549,225,resposta,NOUN,False,True,True
produto,10.937,178,produto,NOUN,False,True,True
resultado,10.8939,145,resultado,NOUN,False,True,True
cone,10.7719,440,cone,NOUN,False,True,True
dia,10.7538,142,dia,NOUN,False,True,True
necessário,10.5134,121,necessário,ADJ,False,True,True
reprodução,10.4575,225,reprodução,NOUN,False,True,True
ordem,10.3768,214,ordem,NOUN,False,True,True
processo,10.3292,114,processo,NOUN,False,True,True
história,10.3246,122,história,PROPN,False,True,True
tabela,10.2913,170,tabela,NOUN,False,True,True
probabilidade,10.0794,302,probabilidade,NOUN,False,True,True
comprimento,10.0614,273,comprimento,NOUN,False,True,True
pesquisa,9.9855,101,pesquisa,NOUN,False,True,True
cálculo,9.9776,120,cálculo,NOUN,False,True,True
observação,9.8613,144,observação,NOUN,False,True,True
conteúdo,9.8493,112,conteúdo,NOUN,False,True,True
caderno,9.8105,173,caderno,PROPN,False,True,True
informação,9.7581,88,informação,NOUN,False,True,True
comum,9.6645,150,comum,ADJ,False,True,True
ilustrações,9.6446,191,ilustrações,PROPN,False,True,True
pirâmide,9.605,510,pirâmide,PROPN,False,True,True
linear,9.6047,247,linear,ADJ,False,True,True
opção,9.4277,129,opção,NOUN,False,True,True
adilson,9.3732,225,adilson,PROPN,False,False,True
poliedro,9.3454,310,poliedro,NOUN,False,True,True
aresta,9.3252,403,aresta,NOUN,False,True,True
disponível,9.3088,87,disponível,ADJ,False,True,True
texto,9.2576,107,texto,NOUN,False,True,True
exercícios,9.2257,175,exercícios,NOUN,False,True,True
importante,9.1657,90,importante,ADJ,False,True,True
médio,9.1171,126,médio,PROPN,False,True,True
figura,9.0983,460,figura,NOUN,False,True,True
aprendizagem,9.001,103,aprendizagem,NOUN,False,True,True
propriedade,8.9175,148,propriedade,NOUN,False,True,True
vértice,8.9095,268,vértice,NOUN,False,True,True
aula,8.8716,111,aula,NOUN,False,True,True
escola,8.8453,87,escola,PROPN,False,True,True
distância,8.8206,253,distância,NOUN,False,True,True
acesso,8.7999,87,acesso,NOUN,False,False,True
uso,8.7912,83,uso,NOUN,False,True,True
pessoa,8.7798,106,pessoa,NOUN,False,True,True
cos,8.7317,347,cos,PROPN,False,True,True
razão,8.7102,162,razão,NOUN,False,True,True
quadrado,8.6408,165,quadrado,NOUN,False,True,True
eixo,8.56,195,eixo,NOUN,False,True,True
sequência,8.5583,157,sequência,NOUN,False,True,True
cilindro,8.5566,307,cilindro,PROPN,False,True,True
ideia,8.4194,96,ideia,NOUN,False,True,True
água,8.4171,125,água,NOUN,False,True,True
anterior,8.3313,110,anterior,ADJ,False,True,True
letra,8.3093,188,letra,NOUN,False,True,True
unidade,8.3077,162,unidade,NOUN,False,True,True
segmento,8.2595,185,segmento,NOUN,False,True,True
papel,8.2364,83,papel,NOUN,False,True,True
rio,8.2292,91,rio,NOUN,False,True,True
sólido,8.1508,158,sólido,NOUN,False,True,True
coleção,8.1399,111,coleção,NOUN,False,True,True
orientações,8.0864,104,orientações,PROPN,False,True,True
objetivo,7.9206,85,objetivo,NOUN,False,True,True
assunto,7.8708,71,assunto,NOUN,False,True,True
arco,7.8293,419,arco,NOUN,False,True,True
lateral,7.817,316,lateral,ADJ,False,True,True
atual,7.7954,67,atual,ADJ,False,True,True
janeiro,7.5772,97,janeiro,NOUN,False,False,True
fórmula,7.5361,117,fórmula,NOUN,False,True,True
região,7.4957,87,região,NOUN,False,True,True
código,7.4938,236,código,NOUN,False,True,True
prisma,7.4772,275,prisma,NOUN,False,True,True
par,7.4661,182,par,NOUN,False,True,True
teorema,7.4637,117,teorema,NOUN,False,True,True
comentário,7.4288,118,comentário,NOUN,False,True,True
brasil,7.3472,60,brasil,PROPN,False,True,True
material,7.332,68,material,NOUN,False,True,True
didáticas,7.3285,92,didáticas,PROPN,False,False,True
trigonométrico,7.3002,187,trigonométrico,ADJ,False,True,True
paralelo,7.2905,267,paralelo,ADJ,False,True,True
esfera,7.2896,195,esfera,PROPN,False,True,True
regular,7.2673,276,regular,ADJ,False,True,True
sala,7.2113,90,sala,NOUN,False,True,True
simples,7.1764,91,simples,ADJ,False,True,True
desenvolvimento,7.1227,84,desenvolvimento,NOUN,False,False,True
período,7.1178,156,período,NOUN,False,True,True
aplicação,7.1072,79,aplicação,NOUN,False,True,True
fato,7.0912,69,fato,NOUN,False,True,True
escolha,7.0476,118,escolha,NOUN,False,True,True
espaço,7.0435,97,espaço,NOUN,False,True,True
evento,7.0215,138,evento,NOUN,False,True,True
diâmetro,6.9669,111,diâmetro,NOUN,False,True,True
etapa,6.9345,129,etapa,NOUN,False,True,True
fevereiro,6.9272,208,fevereiro,NOUN,False,False,True
seno,6.8766,188,seno,PROPN,False,True,True
cubo,6.8591,248,cubo,NOUN,False,True,True
formação,6.8591,65,formação,NOUN,False,False,True
demonstração,6.8384,82,demonstração,NOUN,False,True,True
autor,6.8362,62,autor,NOUN,False,True,True
dimensão,6.7979,98,dimensão,NOUN,False,True,True
geometria,6.7865,199,geometr,NOUN,False,False,True
correspondente,6.7479,116,correspondente,ADJ,False,True,True
cidade,6.7458,80,cidade,NOUN,False,True,True
face,6.6712,419,face,NOUN,False,True,True
leitura,6.6704,64,leitura,NOUN,False,True,True
geométrico,6.6525,78,geométrico,ADJ,False,True,True
seção,6.6392,124,seção,NOUN,False,True,True
fonte,6.54,43,fonte,NOUN,False,True,True
tema,6.5153,66,tema,NOUN,False,True,True
caixa,6.5077,98,caixa,NOUN,False,True,True
jogo,6.4858,69,jogo,NOUN,False,True,True
linha,6.4847,168,linha,NOUN,False,True,True
principal,6.4839,85,principal,ADJ,False,True,True
representação,6.4538,80,representação,NOUN,False,True,True
fundamental,6.448,92,fundamental,ADJ,False,True,True
desafio,6.3579,76,desafio,NOUN,False,True,True
prática,6.3538,59,prático,ADJ,False,True,True
guia,6.1735,139,guia,NOUN,False,True,True
acordo,6.1504,56,acordo,NOUN,False,False,True
grau,6.1382,121,grau,NOUN,False,True,True
diferença,6.0873,69,diferença,NOUN,False,True,True
centro,6.0858,129,centro,NOUN,False,True,True
princípio,6.0844,104,princípio,PROPN,False,True,True
círculo,6.0591,130,círculo,NOUN,False,True,True
análise,6.0197,81,análise,NOUN,False,False,True
trigonometria,5.9957,92,trigonometrio,ADJ,False,False,True
perpendicular,5.9778,273,perpendicular,NOUN,False,True,True
diagonal,5.9691,180,diagonal,NOUN,False,True,True
prova,5.9653,65,prova,NOUN,False,True,True
origem,5.9391,78,origem,NOUN,False,True,True
cosseno,5.911,154,cosseno,PROPN,False,True,True
polígono,5.885,146,polígono,NOUN,False,True,True
escolar,5.8761,54,escolar,ADJ,False,True,True
artigo,5.8583,52,artigo,NOUN,False,True,True
ciclo,5.8426,107,ciclo,PROPN,False,True,True
única,5.8337,80,único,ADJ,False,False,True
único,5.8216,86,único,ADJ,False,True,True
reto,5.806,191,reto,ADJ,False,True,True
metro,5.7767,77,metro,NOUN,False,True,True
definição,5.7627,70,definição,NOUN,False,True,True
preciso,5.7085,60,preciso,NOUN,False,True,True
ciência,5.7042,62,ciência,NOUN,False,True,True
expressão,5.7038,87,expressão,NOUN,False,True,True
condição,5.661,59,condição,NOUN,False,True,True
algarismo,5.6448,121,algarismo,VERB,False,True,True
interessante,5.6415,54,interessante,ADJ,False,True,True
objeto,5.6248,60,objeto,NOUN,False,True,True
natural,5.5923,58,natural,ADJ,False,True,True
preço,5.5678,72,preço,NOUN,False,True,True
note,5.5237,81,note,NOUN,False,False,True
hora,5.5152,86,hora,NOUN,False,True,True
