word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
função,47.26,4246,função,NOUN,False,True,True
matemática,46.8581,1841,matemática,PROPN,False,True,True
equação,42.8546,3052,equação,NOUN,False,True,True
aluno,40.1413,1549,aluno,NOUN,False,True,True
ano,38.5882,1530,ano,NOUN,False,True,True
capítulo,37.8595,1450,capítulo,NOUN,False,True,True
real,36.711,2065,real,ADJ,False,True,True
seguinte,35.997,1090,seguinte,ADJ,False,True,True
professor,35.9592,1339,professor,NOUN,False,True,True
gráfico,35.2015,2353,gráfico,ADJ,False,True,True
exercício,32.5244,1323,exercício,NOUN,False,True,True
base,32.0142,1634,base,NOUN,False,True,True
igual,31.9644,1440,igual,ADJ,False,True,True
paulo,30.51,616,paulo,PROPN,False,False,True
plano,30.2899,1616,plano,ADJ,False,True,True
reta,29.9346,2484,reta,NOUN,False,True,True
resolução,29.7659,1122,resolução,NOUN,False,True,True
triângulo,28.4538,1585,triângulo,NOUN,False,True,True
total,27.7661,899,total,ADJ,False,True,True
conjunto,27.7198,1254,conjunto,NOUN,False,True,True
problema,27.5478,803,problema,NOUN,False,True,True
solução,26.6106,1215,solução,PROPN,False,True,True
caso,26.5294,1060,caso,NOUN,False,True,True
altura,26.3024,1141,altura,NOUN,False,True,True
imagem,25.8211,1262,imagem,NOUN,False,True,True
pessoa,25.32,530,pessoa,NOUN,False,True,True
alternativa,24.6138,1030,alternativa,PROPN,False,True,True
volume,24.5987,1322,volume,NOUN,False,True,True
dia,24.5966,696,dia,NOUN,False,True,True
matemático,23.9812,464,matemático,ADJ,False,True,True
modo,23.9689,675,modo,NOUN,False,True,True
ângulo,23.4795,944,ângulo,PROPN,False,True,True
lei,23.1087,1280,lei,NOUN,False,True,True
quantidade,22.5226,530,quantidade,PROPN,False,True,True
elemento,22.2751,854,elemento,NOUN,False,True,True
reprodução,22.1736,708,reprodução,NOUN,False,True,True
determine,22.1398,1444,determine,VERB,False,True,True
pesquisa,22.1086,473,pesquisa,NOUN,False,True,True
editora,21.7345,1013,editora,PROPN,False,False,True
tabela,21.3915,676,tabela,PROPN,False,True,True
resposta,21.3545,753,resposta,NOUN,False,True,True
distância,21.3427,947,distância,NOUN,False,True,True
mesma,20.4689,506,mesmo,ADJ,False,False,True
ensino,20.18,742,ensino,NOUN,False,False,True
livro,19.8012,442,livro,PROPN,False,True,True
produto,19.7754,606,produto,NOUN,False,True,True
resultado,19.6861,489,resultado,NOUN,False,True,True
maneira,19.5648,452,maneira,NOUN,False,True,True
situação,19.3652,498,situação,NOUN,False,True,True
cálculo,19.314,542,cálculo,NOUN,False,True,True
médio,19.1908,642,médio,ADJ,False,True,True
informação,19.0271,373,informação,NOUN,False,True,True
razão,18.6938,704,razão,NOUN,False,True,True
retângulo,18.6502,696,retângulo,ADJ,False,True,True
região,18.6428,396,região,NOUN,False,True,True
medida,18.6385,1985,medida,NOUN,False,True,True
arquivo,18.5385,947,arquivo,NOUN,False,True,True
eixo,18.5203,1251,eixo,NOUN,False,True,True
brasil,18.4518,313,brasil,PROPN,False,True,True
acesso,18.3983,351,acesso,NOUN,False,True,True
disponível,18.2747,293,disponível,ADJ,False,True,True
unidade,18.238,564,unidade,NOUN,False,True,True
estudo,17.9704,523,estudo,NOUN,False,True,True
importante,17.8202,368,importante,ADJ,False,True,True
trabalho,17.7734,394,trabalho,NOUN,False,True,True
educação,17.4324,564,educação,PROPN,False,False,True
conhecimento,17.1729,493,conhecimento,NOUN,False,True,True
circunferência,17.1413,1182,circunferência,NOUN,False,True,True
necessário,17.1344,369,necessário,ADJ,False,True,True
estudante,17.1023,525,estudante,PROPN,False,True,True
grau,16.934,790,grau,NOUN,False,True,True
figura,16.9087,1202,figura,NOUN,False,True,True
conceito,16.8685,506,conceito,NOUN,False,True,True
diferente,16.8527,367,diferente,ADJ,False,True,True
média,16.6547,556,médio,ADJ,False,True,True
empresa,16.619,353,empresa,NOUN,False,True,True
fonte,16.6078,241,fonte,NOUN,False,True,True
co,16.5209,1447,co,NOUN,False,True,True
centro,16.4353,660,centro,NOUN,False,True,True
ilustrações,16.2271,709,ilustrações,PROPN,False,True,True
fórmula,16.1802,460,fórmula,NOUN,False,True,True
comprimento,16.1417,549,comprimento,NOUN,False,True,True
segmento,16.0011,583,segmento,NOUN,False,True,True
raio,15.9126,910,raio,NOUN,False,True,True
matriz,15.8384,756,matriz,NOUN,False,True,True
construção,15.8197,378,construção,NOUN,False,True,True
obra,15.737,299,obra,NOUN,False,True,True
exercícios,15.6723,481,exercícios,NOUN,False,True,True
acordo,15.6515,263,acordo,NOUN,False,False,True
processo,15.5373,352,processo,NOUN,False,True,True
texto,15.5323,338,texto,NOUN,False,True,True
atividade,15.3673,768,atividade,NOUN,False,True,True
sequência,15.3,582,sequência,NOUN,False,True,True
cidade,15.101,255,cidade,NOUN,False,True,True
quadrado,15.0975,465,quadrado,NOUN,False,True,True
escola,15.0063,298,escola,PROPN,False,True,True
condição,14.9899,381,condição,NOUN,False,True,True
hora,14.9382,448,hora,NOUN,False,True,True
taxa,14.7617,678,taxa,PROPN,False,True,True
avaliação,14.7568,440,avaliação,NOUN,False,True,True
observação,14.6942,393,observação,NOUN,False,True,True
preço,14.6881,482,preço,NOUN,False,True,True
água,14.6501,337,água,NOUN,False,True,True
anterior,14.646,396,anterior,ADJ,False,True,True
distinto,14.628,493,distinto,ADJ,False,True,True
rio,14.5846,325,rio,PROPN,False,True,True
caderno,14.58,427,caderno,NOUN,False,True,True
complexo,14.4624,524,complexo,ADJ,False,True,True
adilson,14.2778,527,adilson,PROPN,False,False,True
período,14.2686,423,período,NOUN,False,True,True
par,14.261,423,par,NOUN,False,True,True
janeiro,14.2325,335,janeiro,PROPN,False,False,True
comum,14.0943,345,comum,ADJ,False,True,True
intervalo,13.915,482,intervalo,NOUN,False,True,True
opção,13.8766,276,opção,NOUN,False,True,True
banco,13.8107,845,banco,PROPN,False,True,True
vértice,13.808,711,vértice,NOUN,False,True,True
termo,13.7682,731,termo,NOUN,False,True,True
correspondente,13.6868,470,correspondente,ADJ,False,True,True
propriedade,13.6785,413,propriedade,NOUN,False,True,True
expressão,13.4632,338,expressão,NOUN,False,True,True
população,13.396,356,população,NOUN,False,True,True
superfície,13.391,501,superfície,NOUN,False,True,True
constante,13.2846,401,constante,ADJ,False,True,True
aplicação,13.2373,346,aplicação,NOUN,False,True,True
possibilidade,13.2247,384,possibilidade,NOUN,False,True,True
história,13.0475,343,história,NOUN,False,True,True
uso,12.9686,280,uso,NOUN,False,True,True
cone,12.7641,611,cone,NOUN,False,True,True
objetivo,12.7332,266,objetivo,NOUN,False,True,True
conteúdo,12.4713,317,conteúdo,NOUN,False,True,True
representação,12.1792,337,representação,NOUN,False,True,True
simples,12.1308,328,simples,ADJ,False,True,True
teorema,11.9466,338,teorema,PROPN,False,True,True
ordem,11.9432,361,ordem,NOUN,False,True,True
natural,11.9141,335,natural,ADJ,False,True,True
