word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
água,59.6042,1815,água,NOUN,False,True,True
reação,45.6085,1762,reação,NOUN,False,True,True
solução,44.9575,1759,solução,NOUN,False,True,True
química,34.5393,710,química,VERB,False,True,True
mol,33.5671,2660,mol,PROPN,False,True,True
energia,32.2302,954,energia,NOUN,False,True,True
processo,31.3794,735,processo,NOUN,False,True,True
concentração,31.2728,1135,concentração,NOUN,False,True,True
temperatura,28.4105,978,temperatura,NOUN,False,True,True
quantidade,26.7197,886,quantidade,NOUN,False,True,True
ácido,26.4262,847,ácido,NOUN,False,True,True
substância,25.1408,571,substância,NOUN,False,True,True
massa,24.7662,1473,massa,NOUN,False,True,True
pressão,24.5641,829,pressão,NOUN,False,True,True
químico,23.9848,592,químico,ADJ,False,True,True
equilíbrio,23.1561,940,equilíbrio,NOUN,False,True,True
gás,22.5301,607,gás,NOUN,False,False,True
produto,22.3975,493,produto,NOUN,False,True,True
livro,21.0683,354,livro,PROPN,False,True,True
alimento,20.7617,294,alimento,NOUN,False,True,True
fonte,20.6715,232,fonte,NOUN,False,True,True
volume,20.6577,737,volume,NOUN,False,True,True
uso,19.2146,208,uso,NOUN,False,True,True
nuclear,18.9144,430,nuclear,NOUN,False,True,True
equação,18.6747,522,equação,NOUN,False,True,True
material,18.079,242,material,NOUN,False,True,True
caso,18.0061,342,caso,NOUN,False,True,True
seguinte,17.8883,307,seguinte,ADJ,False,True,True
ano,17.8839,258,ano,NOUN,False,True,True
elemento,17.7728,333,elemento,NOUN,False,True,True
formação,17.5698,354,formação,NOUN,False,False,True
capítulo,17.2715,471,capítulo,NOUN,False,True,True
unidade,17.074,390,unidade,NOUN,False,True,True
experimento,17.0661,311,experimento,NOUN,False,True,True
tabela,17.0384,342,tabela,NOUN,False,True,True
constante,16.5125,537,constante,ADJ,False,True,True
presente,16.2809,290,presente,ADJ,False,True,True
amostra,16.2666,387,amostra,NOUN,False,True,True
metal,15.993,284,metal,NOUN,False,True,True
alternativa,15.807,363,alternativa,NOUN,False,True,True
produção,15.4068,217,produção,NOUN,False,True,True
ambiente,15.4005,222,ambiente,ADJ,False,True,True
oxigênio,15.3892,365,oxigênio,ADJ,False,True,True
base,15.1452,354,base,NOUN,False,True,True
gráfico,15.0248,263,gráfico,NOUN,False,True,True
átomo,14.8766,546,átomo,NOUN,False,True,True
universidade,14.745,178,universidade,PROPN,False,True,True
sal,14.7386,290,sal,NOUN,False,True,True
molécula,14.4626,434,molécula,NOUN,False,True,True
hidrogênio,14.1455,339,hidrogênio,NOUN,False,True,True
igual,14.0477,320,igual,ADJ,False,True,True
estudante,14.0351,250,estudante,NOUN,False,True,True
sódio,13.883,353,sódio,PROPN,False,False,True
texto,13.7626,171,texto,NOUN,False,True,True
paulo,13.7407,102,paulo,PROPN,False,False,True
elétrica,13.3869,233,elétrico,ADJ,False,False,True
radiação,13.333,198,radiação,NOUN,False,True,True
aumento,13.2144,327,aumento,NOUN,False,False,True
líquido,13.0305,265,líquido,NOUN,False,True,True
disponível,12.8416,135,disponível,ADJ,False,True,True
carbono,12.8203,284,carbono,NOUN,False,True,True
reagente,12.7923,414,reagente,NOUN,False,True,True
