word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
água,83.0489,4598,água,NOUN,False,True,True
química,66.5282,2844,química,VERB,False,True,True
substância,60.3362,3042,substância,NOUN,False,True,True
reação,59.5311,3548,reação,NOUN,False,True,True
ácido,58.2282,3246,ácido,VERB,False,True,True
químico,46.7147,2042,químico,ADJ,False,True,True
solução,45.8969,2795,solução,NOUN,False,True,True
molécula,41.9745,2270,molécula,NOUN,False,True,True
processo,41.3697,1553,processo,NOUN,False,True,True
produto,40.5264,1292,produto,NOUN,False,True,True
elemento,40.0117,1923,elemento,NOUN,False,True,True
material,39.6963,1046,material,NOUN,False,True,True
átomo,39.6258,2863,átomo,ADJ,False,True,True
livro,37.6386,1108,livro,PROPN,False,True,True
energia,37.2876,1693,energia,NOUN,False,True,True
carbono,35.5449,1595,carbono,NOUN,False,True,True
quantidade,35.5394,1562,quantidade,NOUN,False,True,True
gás,34.51,1585,gás,NOUN,False,True,True
fonte,34.0815,646,fonte,NOUN,False,True,True
temperatura,33.8311,1901,temperatura,NOUN,False,True,True
caso,33.5503,1028,caso,NOUN,False,True,True
capítulo,33.475,1624,capítulo,NOUN,False,True,True
massa,33.0998,2990,massa,NOUN,False,True,True
uso,32.9677,646,uso,NOUN,False,True,True
fórmula,31.337,1354,fórmula,NOUN,False,True,True
nome,31.2502,803,nome,NOUN,False,True,True
presente,31.2001,978,presente,ADJ,False,True,True
tabela,30.5309,1111,tabela,PROPN,False,True,True
mol,29.5062,3230,mol,NOUN,False,True,True
concentração,29.1869,1355,concentração,NOUN,False,True,True
ano,29.101,556,ano,NOUN,False,True,True
hidrogênio,28.891,1405,hidrogênio,NOUN,False,True,True
seguinte,28.8831,850,seguinte,ADJ,False,True,True
metal,28.7058,1094,metal,NOUN,False,True,True
alternativa,28.5969,1074,alternativa,NOUN,False,True,True
ligação,28.506,1526,ligação,NOUN,False,True,True
orgânico,28.4519,858,orgânico,NOUN,False,True,True
estrutura,28.006,814,estrutura,NOUN,False,True,True
pesquisa,26.8505,425,pesquisa,NOUN,False,True,True
produção,26.5322,646,produção,NOUN,False,True,True
oxigênio,26.247,1209,oxigênio,NOUN,False,True,True
mistura,25.5862,882,mistura,NOUN,False,True,True
formação,25.4654,755,formação,NOUN,False,False,True
unidade,25.4602,931,unidade,NOUN,False,True,True
base,25.2811,866,base,NOUN,False,True,True
equação,25.2734,1050,equação,NOUN,False,True,True
alimento,25.2319,566,alimento,NOUN,False,True,True
sal,24.9307,849,sal,NOUN,False,True,True
propriedade,24.8222,787,propriedade,NOUN,False,True,True
pressão,24.7741,1208,pressão,NOUN,False,True,True
foto,24.0091,390,foto,NOUN,False,True,True
texto,23.9868,540,texto,NOUN,False,True,True
ambiente,23.7997,643,ambiente,NOUN,False,True,True
volume,23.6593,1284,volume,NOUN,False,True,True
importante,23.5936,527,importante,ADJ,False,True,True
diferente,23.1165,640,diferente,ADJ,False,True,True
experimento,22.2057,673,experimento,NOUN,False,True,True
álcool,22.1874,613,álcool,NOUN,False,True,True
líquido,22.1669,787,líquido,ADJ,False,True,True
disponível,21.9535,379,disponível,ADJ,False,True,True
pessoa,21.7877,380,pessoa,NOUN,False,True,True
sódio,21.6797,970,sódio,NOUN,False,False,True
elétrica,21.2987,787,elétrico,ADJ,False,False,True
informação,21.2009,440,informação,NOUN,False,True,True
natural,20.5342,466,natural,ADJ,False,True,True
comum,20.4196,457,comum,ADJ,False,True,True
luz,20.3329,518,luz,NOUN,False,True,True
mesma,20.0753,557,mesmo,ADJ,False,False,True
equilíbrio,20.0576,1029,equilíbrio,NOUN,False,True,True
cor,19.9248,611,cor,NOUN,False,True,True
principal,19.595,484,principal,ADJ,False,True,True
atividade,19.5637,944,atividade,NOUN,False,True,True
combustível,19.4164,570,combustível,ADJ,False,True,True
molecular,19.36,878,molecular,ADJ,False,True,True
modelo,19.3519,557,modelo,NOUN,False,True,True
ação,19.2874,332,ação,NOUN,False,True,True
efeito,19.1406,465,efeito,NOUN,False,True,True
mar,19.1022,394,mar,NOUN,False,True,True
amostra,18.9874,686,amostra,NOUN,False,True,True
aumento,18.9432,594,aumento,NOUN,False,True,True
brasil,18.8714,254,brasil,PROPN,False,True,True
aplicação,18.8176,358,aplicação,NOUN,False,True,True
estudante,18.6424,798,estudante,NOUN,False,True,True
acesso,18.5796,333,acesso,NOUN,False,False,True
representação,18.3418,547,representação,NOUN,False,True,True
necessário,17.9749,435,necessário,ADJ,False,True,True
problema,17.8969,338,problema,NOUN,False,True,True
dia,17.7829,373,dia,NOUN,False,True,True
função,17.6779,456,função,NOUN,False,True,True
laboratório,17.6748,386,laboratório,NOUN,False,True,True
ferro,17.6266,568,ferro,NOUN,False,False,True
acordo,17.4576,397,acordo,NOUN,False,True,True
atômico,17.4165,663,atômico,ADJ,False,True,True
igual,17.4086,613,igual,ADJ,False,True,True
fato,17.287,358,fato,NOUN,False,True,True
paulo,17.2736,296,paulo,PROPN,False,False,True
responsável,17.2202,328,responsável,ADJ,False,True,True
papel,17.1462,347,papel,NOUN,False,True,True
cientista,17.139,287,cientista,NOUN,False,True,True
cadeia,17.1172,697,cadeia,NOUN,False,True,True
estudo,17.1097,323,estudo,NOUN,False,True,True
condição,17.104,507,condição,NOUN,False,True,True
conceito,17.0222,528,conceito,NOUN,False,True,True
matéria,16.9531,626,matéria,NOUN,False,True,True
nuclear,16.8476,500,nuclear,ADJ,False,True,True
reagente,16.8171,774,reagente,NOUN,False,True,True
proporção,16.8102,610,proporção,NOUN,False,True,True
alumínio,16.6864,488,alumínio,PROPN,False,True,True
constante,16.6704,708,constante,ADJ,False,True,True
petróleo,16.6387,385,petróleo,NOUN,False,False,True
estrutural,16.5694,460,estrutural,ADJ,False,True,True
modo,16.4878,389,modo,NOUN,False,True,True
ciência,16.4593,371,ciência,PROPN,False,True,True
organismo,16.4482,329,organismo,NOUN,False,True,True
humano,16.3779,328,humano,ADJ,False,True,True
composto,16.347,1487,composto,NOUN,False,True,True
plástico,16.3325,307,plástico,ADJ,False,True,True
esquema,16.3273,374,esquema,NOUN,False,True,True
pequeno,16.3129,316,pequeno,ADJ,False,True,True
oxidação,16.2488,623,oxidação,NOUN,False,True,True
sólido,16.2323,584,sólido,ADJ,False,True,True
imagem,16.199,290,imagem,NOUN,False,True,True
resposta,16.1639,547,resposta,NOUN,False,True,True
presença,16.0975,379,presença,NOUN,False,False,True
etanol,16.0135,466,etanol,NOUN,False,False,True
resultado,15.9031,383,resultado,NOUN,False,True,True
consumo,15.6689,310,consumo,NOUN,False,False,True
carga,15.6408,633,carga,NOUN,False,True,True
caderno,15.5732,505,caderno,NOUN,False,True,True
metálico,15.5143,468,metálico,ADJ,False,True,True
gráfico,15.489,397,gráfico,NOUN,False,True,True
redução,15.4195,481,redução,NOUN,False,True,True
contato,15.412,332,contato,NOUN,False,True,True
simples,15.4081,454,simples,ADJ,False,True,True
escola,15.317,353,escola,NOUN,False,True,True
universidade,15.2439,538,universidade,PROPN,False,True,True
alta,15.2137,314,alta,ADJ,False,True,True
adilson,15.1337,363,adilson,PROPN,False,False,True
maneira,15.1146,304,maneira,NOUN,False,True,True
óleo,15.001,318,óleo,NOUN,False,True,True
século,14.9374,255,século,NOUN,False,True,True
transformação,14.8663,410,transformação,NOUN,False,True,True
característica,14.6058,350,característica,NOUN,False,True,True
vida,14.6006,303,vida,NOUN,False,True,True
cloreto,14.5651,526,cloreto,NOUN,False,True,True
cálcio,14.5094,520,cálcio,NOUN,False,True,True
lei,14.4732,464,lei,NOUN,False,True,True
trabalho,14.4289,246,trabalho,NOUN,False,True,True
força,14.4003,352,força,NOUN,False,True,True
pilha,14.3536,416,pilha,NOUN,False,True,True
mundo,14.3347,274,mundo,PROPN,False,False,True
situação,14.3076,329,situação,NOUN,False,True,True
partícula,14.1915,477,partícula,NOUN,False,True,True
composição,14.1886,319,composição,NOUN,False,True,True
superfície,14.147,310,superfície,NOUN,False,True,True
aquecimento,14.0479,342,aquecimento,NOUN,False,False,True
proteína,14.043,325,proteína,NOUN,False,True,True
polímero,14.0055,311,polímero,NOUN,False,True,True
obtenção,13.9669,342,obtenção,NOUN,False,False,True
professor,13.9415,354,professor,NOUN,False,True,True
rio,13.9225,275,rio,NOUN,False,True,True
densidade,13.9215,468,densidade,NOUN,False,True,True
indústria,13.9176,308,indústria,NOUN,False,True,True
orgânica,13.8416,337,orgânica,PROPN,False,True,True
ambiental,13.7713,280,ambiental,ADJ,False,True,True
desenvolvimento,13.7683,288,desenvolvimento,NOUN,False,True,True
procedimento,13.7318,325,procedimento,NOUN,False,True,True
divulgação,13.7235,201,divulgação,NOUN,False,True,True
tratamento,13.7174,228,tratamento,PROPN,False,True,True
elétrom,13.6851,583,elétrom,ADJ,False,True,True
nitrogênio,13.6594,464,nitrogênio,NOUN,False,True,True
espécie,13.4245,403,espécie,NOUN,False,True,True
aquosa,13.3801,592,aquoso,ADJ,False,True,True
fenômeno,13.3177,275,fenômeno,NOUN,False,True,True
componente,13.2956,344,componente,PROPN,False,True,True
resolução,13.2411,451,resolução,NOUN,False,True,True
periódica,13.167,467,periódico,ADJ,False,False,True
físico,13.0302,314,físico,ADJ,False,True,True
radiação,12.9855,308,radiação,NOUN,False,True,True
região,12.9464,232,região,NOUN,False,True,True
didáticas,12.9037,502,didáticas,PROPN,False,False,True
